monthly_income,housing_expense,food_expense,transport_expense,utilities_expense,other_expense,total_debt,num_active_loans,has_defaulted,payment_regularity,has_savings,monthly_savings,mobile_money_frequency,age,employment_type,num_dependents,total_expenses,debt_to_income_ratio,expense_ratio,savings_rate,housing_burden,discretionary_ratio,net_monthly_cash_flow,affordability_index,debt_service_ratio,savings_consistency,payment_score,mobile_money_score,employment_encoded,dependency_burden,high_debt_flag,deficit_flag,overextended_flag,housing_stress_flag,credit_score
6971.22,1131.28,1474.99,802.45,855.53,428.72,10100.72,1,0,sometimes,0,0.0,monthly,57,employed,2,4692.97,1.4489,0.6732,0.0,0.1623,0.5034,2278.25,0.3268,0.0435,0.0,0.5,0.4,3,0.2869,1,0,0,0,642
3853.68,692.02,657.93,391.8,975.82,111.49,3436.04,2,0,sometimes,0,0.0,daily,34,employed,2,2829.06,0.8916,0.7341,0.0,0.1796,0.3965,1024.62,0.2659,0.0267,0.0,0.5,1.0,3,0.519,1,0,0,0,646
5979.07,404.09,1114.67,715.26,781.28,868.57,4454.13,0,0,sometimes,1,825.5,daily,25,employed,2,3883.87,0.745,0.6496,0.1381,0.0676,0.6153,1269.7,0.2124,0.0223,0.1381,0.5,1.0,3,0.3345,1,0,0,0,673
9701.69,1923.06,3346.82,1600.42,339.74,243.32,3412.31,1,0,always,0,0.0,weekly,28,employed,3,7453.36,0.3517,0.7683,0.0,0.1982,0.4218,2248.33,0.2317,0.0106,0.0,1.0,0.75,3,0.3092,0,0,0,0,793
3721.6,1414.9,897.89,330.54,439.8,23.93,882.38,1,0,always,0,0.0,weekly,22,employed,4,3107.06,0.2371,0.8349,0.0,0.3802,0.2604,614.54,0.1651,0.0071,0.0,1.0,0.75,3,1.0748,0,0,0,1,811
1498.66,315.54,643.11,188.28,34.79,73.32,774.26,1,0,sometimes,1,69.12,monthly,51,unemployed,2,1255.04,0.5166,0.8374,0.0461,0.2105,0.3371,174.5,0.1164,0.0155,0.0461,0.5,0.4,0,1.3345,1,0,0,0,551
17494.27,3860.8,3306.97,2368.35,311.65,935.35,1474.98,0,0,always,1,2682.21,weekly,64,employed,1,10783.12,0.0843,0.6164,0.1533,0.2207,0.5725,4028.94,0.2303,0.0025,0.1533,1.0,0.75,3,0.0572,0,0,0,0,850
5903.49,1231.17,779.03,686.73,294.91,455.73,261.54,2,0,rarely,1,494.02,monthly,52,employed,1,3447.57,0.0443,0.584,0.0837,0.2085,0.6095,1961.9,0.3323,0.0013,0.0837,0.0,0.4,3,0.1694,0,0,0,0,770
16107.99,4402.14,7327.56,1577.01,65.0,1246.14,2162.13,0,0,always,0,0.0,monthly,62,employed,3,14617.85,0.1342,0.9075,0.0,0.2733,0.2678,1490.14,0.0925,0.004,0.0,1.0,0.4,3,0.1862,0,0,0,0,817
6955.02,755.01,335.72,578.73,2.25,1565.34,7008.53,3,0,always,0,0.0,monthly,37,self_employed,2,3237.05,1.0077,0.4654,0.0,0.1086,0.8429,3717.97,0.5346,0.0302,0.0,1.0,0.4,2,0.2876,1,0,1,0,659
1029.61,358.38,109.24,141.0,40.73,32.92,2718.96,1,0,rarely,1,36.34,monthly,39,self_employed,0,682.27,2.6408,0.6626,0.0353,0.3481,0.5063,311.0,0.3021,0.0792,0.0353,0.0,0.4,2,0.0,1,0,0,1,573
906.58,381.91,45.01,168.41,69.85,51.99,367.79,1,1,sometimes,0,0.0,weekly,20,unemployed,2,717.17,0.4057,0.7911,0.0,0.4213,0.452,189.41,0.2089,0.0122,0.0,0.5,0.75,0,2.2061,0,0,0,1,505
800.0,203.93,112.53,196.55,137.19,9.99,811.61,0,1,rarely,0,0.0,weekly,53,unemployed,2,660.19,1.0145,0.8252,0.0,0.2549,0.4329,139.81,0.1748,0.0304,0.0,0.0,0.75,0,2.5,1,0,0,0,337
5352.38,1063.4,496.3,229.28,86.76,209.64,20004.36,1,0,sometimes,1,1240.65,monthly,57,employed,3,2085.38,3.7375,0.3896,0.2318,0.1987,0.6924,2026.35,0.3786,0.1121,0.2318,0.5,0.4,3,0.5605,1,0,0,0,672
1250.21,234.59,267.87,34.35,43.64,177.33,138.03,0,0,rarely,0,0.0,weekly,39,unemployed,0,757.78,0.1104,0.6061,0.0,0.1876,0.5632,492.43,0.3939,0.0033,0.0,0.0,0.75,0,0.0,0,0,0,0,716
889.22,296.03,165.5,103.34,65.83,58.0,134.33,0,0,rarely,1,73.16,weekly,50,student,0,688.7,0.1511,0.7745,0.0823,0.3329,0.4069,127.36,0.1432,0.0045,0.0823,0.0,0.75,1,0.0,0,0,0,1,735
7846.63,2029.8,1469.76,724.59,203.05,307.09,147.27,0,0,always,1,1209.16,weekly,19,employed,4,4734.29,0.0188,0.6034,0.1541,0.2587,0.5281,1903.18,0.2425,0.0006,0.1541,1.0,0.75,3,0.5098,0,0,0,0,850
3874.74,935.83,325.15,348.77,429.73,381.01,613.75,1,0,rarely,0,0.0,monthly,23,employed,1,2420.49,0.1584,0.6247,0.0,0.2415,0.5637,1454.25,0.3753,0.0048,0.0,0.0,0.4,3,0.2581,0,0,0,0,740
1000.44,89.64,107.28,251.51,127.73,38.9,212.28,1,0,always,0,0.0,monthly,39,self_employed,2,615.06,0.2122,0.6148,0.0,0.0896,0.6755,385.38,0.3852,0.0064,0.0,1.0,0.4,2,1.9991,0,0,0,0,811
3685.57,705.0,1609.44,570.03,320.49,85.81,1558.62,0,0,always,0,0.0,weekly,64,employed,0,3290.77,0.4229,0.8929,0.0,0.1913,0.2851,394.8,0.1071,0.0127,0.0,1.0,0.75,3,0.0,0,0,0,0,769
1302.58,341.0,359.51,41.28,19.64,200.78,49.17,2,1,sometimes,0,0.0,weekly,31,student,2,962.21,0.0377,0.7387,0.0,0.2618,0.4471,340.37,0.2613,0.0011,0.0,0.5,0.75,1,1.5354,0,0,0,0,673
2918.3,779.6,467.91,379.86,1108.08,77.41,1841.44,1,0,rarely,0,0.0,weekly,56,employed,2,2812.86,0.631,0.9639,0.0,0.2671,0.1928,105.44,0.0361,0.0189,0.0,0.0,0.75,3,0.6853,1,0,0,0,539
2400.35,331.79,425.48,449.36,513.48,218.72,8677.02,1,0,sometimes,1,506.59,daily,60,self_employed,1,1938.83,3.6149,0.8077,0.211,0.1382,0.4706,-45.07,-0.0188,0.1084,0.211,0.5,1.0,2,0.4166,1,1,0,0,494
3573.52,653.91,133.25,135.05,676.43,430.18,4928.96,1,0,always,1,666.06,weekly,23,employed,1,2028.82,1.3793,0.5677,0.1864,0.183,0.5904,878.64,0.2459,0.0414,0.1864,1.0,0.75,3,0.2798,1,0,0,0,755
800.0,185.04,85.4,27.69,100.46,4.22,187.67,4,0,always,0,0.0,daily,19,unemployed,2,402.81,0.2346,0.5035,0.0,0.2313,0.5364,397.19,0.4965,0.007,0.0,1.0,1.0,0,2.5,0,0,1,0,748
5407.54,576.29,1008.62,363.87,515.45,216.81,210.15,1,0,always,0,0.0,daily,31,employed,3,2681.04,0.0389,0.4958,0.0,0.1066,0.6116,2726.5,0.5042,0.0012,0.0,1.0,1.0,3,0.5548,0,0,0,0,850
1032.02,203.81,364.87,275.97,13.98,48.35,848.02,1,1,rarely,1,232.87,daily,52,unemployed,0,906.98,0.8217,0.8788,0.2256,0.1975,0.4354,-107.83,-0.1045,0.0247,0.2256,0.0,1.0,0,0.0,1,1,0,0,300
800.0,208.56,148.54,127.08,7.51,8.05,493.74,0,0,always,0,0.0,weekly,41,unemployed,2,499.74,0.6172,0.6247,0.0,0.2607,0.5442,300.26,0.3753,0.0185,0.0,1.0,0.75,0,2.5,1,0,0,0,669
4054.04,1144.56,1104.75,250.61,59.85,608.32,492.95,1,0,rarely,1,727.44,monthly,59,employed,1,3168.09,0.1216,0.7815,0.1794,0.2823,0.4304,158.51,0.0391,0.0036,0.1794,0.0,0.4,3,0.2467,0,0,0,0,781
7803.42,945.16,2378.07,698.79,374.82,659.6,63.44,0,0,sometimes,1,1907.54,weekly,25,employed,2,5056.44,0.0081,0.648,0.2444,0.1211,0.5261,839.44,0.1076,0.0002,0.2444,0.5,0.75,3,0.2563,0,0,0,0,836
1825.55,241.92,509.79,106.16,173.28,83.43,1145.02,1,0,sometimes,0,0.0,monthly,56,self_employed,3,1114.58,0.6272,0.6105,0.0,0.1325,0.4933,710.97,0.3895,0.0188,0.0,0.5,0.4,2,1.6433,1,0,0,0,635
4363.97,552.59,1137.57,30.4,914.95,78.34,1803.62,1,0,always,1,161.05,daily,27,self_employed,2,2713.85,0.4133,0.6219,0.0369,0.1266,0.403,1489.07,0.3412,0.0124,0.0369,1.0,1.0,2,0.4583,0,0,0,0,830
1574.7,114.39,93.78,107.29,166.5,5.06,30.91,1,0,always,1,243.25,monthly,37,student,2,487.02,0.0196,0.3093,0.1545,0.0726,0.7621,844.43,0.5362,0.0006,0.1545,1.0,0.4,1,1.2701,0,0,0,0,850
800.0,314.34,211.54,48.46,15.87,95.99,2681.97,2,0,always,1,187.29,monthly,50,unemployed,5,686.2,3.3525,0.8577,0.2341,0.3929,0.3228,-73.49,-0.0919,0.1006,0.2341,1.0,0.4,0,6.25,1,1,0,1,475
2819.14,478.63,338.39,493.0,77.88,194.64,2279.87,1,0,always,1,65.89,weekly,25,employed,3,1582.54,0.8087,0.5614,0.0234,0.1698,0.6826,1170.71,0.4153,0.0243,0.0234,1.0,0.75,3,1.0642,1,0,0,0,718
1245.51,366.72,178.93,161.97,268.52,42.7,134.46,0,0,always,0,0.0,weekly,33,self_employed,0,1018.84,0.108,0.818,0.0,0.2944,0.3463,226.67,0.182,0.0032,0.0,1.0,0.75,2,0.0,0,0,0,0,836
800.0,295.42,240.15,2.5,82.79,58.99,1199.34,1,0,rarely,0,0.0,weekly,44,student,3,679.85,1.4992,0.8498,0.0,0.3693,0.2271,120.15,0.1502,0.045,0.0,0.0,0.75,1,3.75,1,0,0,1,478
15613.43,1969.7,3136.55,4446.2,722.61,549.78,3619.81,1,0,sometimes,0,0.0,never,63,self_employed,0,10824.84,0.2318,0.6933,0.0,0.1262,0.6267,4788.59,0.3067,0.007,0.0,0.5,0.0,2,0.0,0,0,0,0,768
11094.43,708.2,298.81,1353.14,4295.18,906.12,12987.93,1,0,rarely,1,1982.59,daily,33,employed,3,7561.45,1.1707,0.6816,0.1787,0.0638,0.5221,1550.39,0.1397,0.0351,0.1787,0.0,1.0,3,0.2704,1,0,0,0,588
3828.97,693.76,330.35,488.41,105.54,171.05,992.1,0,0,sometimes,1,906.51,monthly,23,employed,4,1789.11,0.2591,0.4673,0.2368,0.1812,0.705,1133.35,0.296,0.0078,0.2368,0.5,0.4,3,1.0447,0,0,0,0,830
806.75,155.25,163.35,99.14,144.31,186.59,585.98,1,0,always,1,84.33,daily,51,unemployed,1,748.64,0.7263,0.928,0.1045,0.1924,0.4262,-26.22,-0.0325,0.0218,0.1045,1.0,1.0,0,1.2395,1,1,0,0,512
915.64,33.6,345.23,65.67,34.77,11.56,166.89,0,0,sometimes,0,0.0,weekly,57,student,3,490.83,0.1823,0.5361,0.0,0.0367,0.5483,424.81,0.4639,0.0055,0.0,0.5,0.75,1,3.2764,0,0,0,0,737
7841.3,2307.35,799.76,5.27,802.17,82.82,1627.49,0,0,rarely,0,0.0,never,53,employed,1,3997.37,0.2076,0.5098,0.0,0.2943,0.5015,3843.93,0.4902,0.0062,0.0,0.0,0.0,3,0.1275,0,0,0,0,719
14901.4,6950.38,3866.57,798.52,117.11,482.66,6471.68,3,0,always,0,0.0,weekly,62,employed,1,12215.24,0.4343,0.8197,0.0,0.4664,0.2662,2686.16,0.1803,0.013,0.0,1.0,0.75,3,0.0671,1,0,1,1,712
5262.01,527.09,1346.37,647.92,26.1,1046.54,3647.3,1,0,always,0,0.0,monthly,58,employed,4,3594.02,0.6931,0.683,0.0,0.1002,0.639,1667.99,0.317,0.0208,0.0,1.0,0.4,3,0.7602,1,0,0,0,683
3390.36,445.83,88.68,794.0,815.16,348.57,34.43,2,0,always,0,0.0,weekly,38,self_employed,3,2492.24,0.0102,0.7351,0.0,0.1315,0.6019,898.12,0.2649,0.0003,0.0,1.0,0.75,2,0.8849,0,0,0,0,850
800.0,214.78,295.28,193.99,13.57,8.13,1549.0,1,0,sometimes,0,0.0,monthly,21,unemployed,0,725.75,1.9362,0.9072,0.0,0.2685,0.3455,74.25,0.0928,0.0581,0.0,0.5,0.4,0,0.0,1,0,0,0,551
3978.24,1172.63,132.33,67.17,421.82,1130.51,1395.63,3,0,sometimes,1,646.49,weekly,62,employed,0,2924.46,0.3508,0.7351,0.1625,0.2948,0.5659,407.29,0.1024,0.0105,0.1625,0.5,0.75,3,0.0,0,0,1,0,724
3599.37,1142.95,356.54,353.91,467.6,374.26,3307.65,1,0,always,1,254.62,weekly,64,self_employed,6,2695.26,0.919,0.7488,0.0707,0.3175,0.4535,649.49,0.1804,0.0276,0.0707,1.0,0.75,2,1.667,1,0,0,1,666
4221.26,1087.71,1070.7,254.76,426.84,161.2,467.34,0,0,always,1,792.7,monthly,63,employed,1,3001.21,0.1107,0.711,0.1878,0.2577,0.3876,427.35,0.1012,0.0033,0.1878,1.0,0.4,3,0.2369,0,0,0,0,850
1034.85,136.78,187.43,46.64,207.94,13.16,466.78,2,0,rarely,0,0.0,never,59,student,5,591.95,0.4511,0.572,0.0,0.1322,0.4858,442.9,0.428,0.0135,0.0,0.0,0.0,1,4.8316,1,0,0,0,543
6670.2,1064.53,1972.72,550.26,100.17,733.31,695.04,1,1,rarely,0,0.0,monthly,29,employed,0,4420.99,0.1042,0.6628,0.0,0.1596,0.5296,2249.21,0.3372,0.0031,0.0,0.0,0.4,3,0.0,0,0,0,0,632
2096.08,663.25,394.03,425.17,347.13,6.47,136.34,2,0,sometimes,0,0.0,weekly,36,self_employed,1,1836.05,0.065,0.8759,0.0,0.3164,0.33,260.03,0.1241,0.002,0.0,0.5,0.75,2,0.4771,0,0,0,1,784
3450.75,595.7,1073.02,124.98,219.78,641.31,1701.53,3,0,always,0,0.0,weekly,38,employed,5,2654.79,0.4931,0.7693,0.0,0.1726,0.4527,795.96,0.2307,0.0148,0.0,1.0,0.75,3,1.449,1,0,1,0,711
5645.03,980.47,315.77,1181.17,903.06,317.68,264.49,0,0,always,0,0.0,monthly,35,employed,3,3698.15,0.0469,0.6551,0.0,0.1737,0.6104,1946.88,0.3449,0.0014,0.0,1.0,0.4,3,0.5314,0,0,0,0,850
800.0,219.45,296.54,160.0,14.5,2.05,411.97,5,0,sometimes,0,0.0,daily,63,student,3,692.54,0.515,0.8657,0.0,0.2743,0.3369,107.46,0.1343,0.0154,0.0,0.5,1.0,1,3.75,1,0,1,0,533
2820.58,761.6,212.44,556.06,412.86,23.92,2470.83,0,0,always,0,0.0,weekly,28,self_employed,0,1966.88,0.876,0.6973,0.0,0.27,0.5083,853.7,0.3027,0.0263,0.0,1.0,0.75,2,0.0,1,0,0,0,703
2565.81,155.05,1289.69,489.77,138.92,277.3,71.57,1,0,always,0,0.0,daily,29,self_employed,1,2350.73,0.0279,0.9162,0.0,0.0604,0.3828,215.08,0.0838,0.0008,0.0,1.0,1.0,2,0.3897,0,0,0,0,813
3888.23,1508.7,859.0,330.66,245.25,409.04,16.22,0,0,rarely,1,497.76,weekly,62,employed,1,3352.65,0.0042,0.8623,0.128,0.388,0.328,37.82,0.0097,0.0001,0.128,0.0,0.75,3,0.2572,0,0,0,1,703
7186.99,1090.59,445.42,992.46,436.04,1776.51,485.68,1,0,rarely,0,0.0,weekly,50,employed,3,4741.02,0.0676,0.6597,0.0,0.1517,0.7256,2445.97,0.3403,0.002,0.0,0.0,0.75,3,0.4174,0,0,0,0,770
2142.35,1129.31,286.23,340.83,213.59,84.53,20.72,4,0,rarely,1,305.95,daily,34,self_employed,3,2054.49,0.0097,0.959,0.1428,0.5271,0.2396,-218.09,-0.1018,0.0003,0.1428,0.0,1.0,2,1.4003,0,1,1,1,550
4503.82,307.09,932.47,1161.2,702.49,3.95,74.14,1,0,always,0,0.0,daily,18,employed,1,3107.2,0.0165,0.6899,0.0,0.0682,0.5688,1396.62,0.3101,0.0005,0.0,1.0,1.0,3,0.222,0,0,0,0,850
9463.09,1961.26,2471.09,865.34,49.06,1237.2,7076.85,0,1,sometimes,1,240.09,monthly,32,employed,1,6583.95,0.7478,0.6958,0.0254,0.2073,0.5264,2639.05,0.2789,0.0224,0.0254,0.5,0.4,3,0.1057,1,0,0,0,507
800.0,144.12,153.34,110.9,95.83,67.47,160.59,1,0,always,1,123.27,never,30,unemployed,3,571.66,0.2007,0.7146,0.1541,0.1801,0.5084,105.07,0.1313,0.006,0.1541,1.0,0.0,0,3.75,0,0,0,0,778
800.0,185.8,175.48,91.74,94.66,19.32,2806.69,0,1,rarely,0,0.0,monthly,53,unemployed,1,567.0,3.5084,0.7087,0.0,0.2322,0.4301,233.0,0.2913,0.1053,0.0,0.0,0.4,0,1.25,1,0,0,0,359
3393.33,1276.33,474.12,258.98,248.51,658.14,67.24,3,1,sometimes,0,0.0,weekly,47,unemployed,1,2916.08,0.0198,0.8594,0.0,0.3761,0.4109,477.25,0.1406,0.0006,0.0,0.5,0.75,0,0.2947,0,0,1,1,556
1103.75,316.38,209.3,70.37,32.36,32.32,50.01,0,0,rarely,1,264.54,weekly,33,student,1,660.73,0.0453,0.5986,0.2397,0.2866,0.4944,178.48,0.1617,0.0014,0.2397,0.0,0.75,1,0.906,0,0,0,0,739
869.95,109.44,107.37,201.71,17.2,2.38,160.74,1,0,sometimes,0,0.0,monthly,37,unemployed,2,438.1,0.1848,0.5036,0.0,0.1258,0.731,431.85,0.4964,0.0055,0.0,0.5,0.4,0,2.299,0,0,0,0,754
800.0,214.41,69.21,40.38,80.92,4.27,4.11,0,0,always,1,82.28,weekly,44,unemployed,5,409.19,0.0051,0.5115,0.1028,0.268,0.5443,308.53,0.3857,0.0002,0.1028,1.0,0.75,0,6.25,0,0,0,0,826
800.0,170.65,108.32,72.59,64.47,45.42,716.15,0,0,sometimes,1,174.05,daily,54,student,3,461.45,0.8952,0.5768,0.2176,0.2133,0.5707,164.5,0.2056,0.0269,0.2176,0.5,1.0,1,3.75,1,0,0,0,666
4732.07,2275.02,501.42,917.97,210.36,27.46,612.44,0,0,always,1,461.8,daily,53,employed,1,3932.23,0.1294,0.831,0.0976,0.4808,0.3688,338.04,0.0714,0.0039,0.0976,1.0,1.0,3,0.2113,0,0,0,1,841
1579.32,431.62,319.59,343.89,52.27,149.03,350.99,1,0,always,0,0.0,monthly,30,student,2,1296.4,0.2222,0.8209,0.0,0.2733,0.4912,282.92,0.1791,0.0067,0.0,1.0,0.4,1,1.2664,0,0,0,0,783
800.0,89.96,252.55,164.8,52.31,29.35,38.04,2,1,rarely,0,0.0,weekly,45,unemployed,4,588.97,0.0475,0.7362,0.0,0.1124,0.5065,211.03,0.2638,0.0014,0.0,0.0,0.75,0,5.0,0,0,0,0,526
4513.04,985.21,1951.44,819.61,118.28,365.04,8079.01,2,1,rarely,0,0.0,weekly,61,self_employed,6,4239.58,1.7901,0.9394,0.0,0.2183,0.3231,273.46,0.0606,0.0537,0.0,0.0,0.75,2,1.3295,1,0,0,0,359
3762.33,280.64,1248.81,747.73,374.04,175.0,0.66,2,0,always,1,809.09,monthly,44,self_employed,1,2826.22,0.0002,0.7512,0.2151,0.0746,0.4941,127.02,0.0338,0.0,0.2151,1.0,0.4,2,0.2658,0,0,0,0,850
4407.72,716.75,1607.81,625.67,1103.01,56.5,1220.87,2,0,always,0,0.0,daily,24,employed,5,4109.74,0.277,0.9324,0.0,0.1626,0.2224,297.98,0.0676,0.0083,0.0,1.0,1.0,3,1.1344,0,0,0,0,824
1302.63,235.85,297.63,63.45,129.53,93.4,659.25,1,0,always,1,255.41,daily,23,self_employed,0,819.86,0.5061,0.6294,0.1961,0.1811,0.491,227.36,0.1745,0.0152,0.1961,1.0,1.0,2,0.0,1,0,0,0,739
800.0,85.5,55.95,49.18,109.7,279.7,482.28,2,0,sometimes,1,159.64,weekly,28,student,2,580.03,0.6028,0.725,0.1995,0.1069,0.6861,60.33,0.0754,0.0181,0.1995,0.5,0.75,1,2.5,1,0,0,0,582
1017.12,252.0,196.11,91.31,6.31,18.16,379.94,0,0,sometimes,0,0.0,weekly,18,student,2,563.89,0.3735,0.5544,0.0,0.2478,0.5532,453.23,0.4456,0.0112,0.0,0.5,0.75,1,1.9663,0,0,0,0,706
4025.58,59.47,748.36,261.07,175.44,152.22,3456.0,1,0,rarely,0,0.0,never,35,employed,1,1396.56,0.8585,0.3469,0.0,0.0148,0.7557,2629.02,0.6531,0.0258,0.0,0.0,0.0,3,0.2484,1,0,0,0,564
4782.38,636.99,301.0,270.15,186.0,1556.61,7941.41,0,0,sometimes,0,0.0,never,41,employed,1,2950.75,1.6606,0.617,0.0,0.1332,0.765,1831.63,0.383,0.0498,0.0,0.5,0.0,3,0.2091,1,0,0,0,632
800.0,67.86,102.08,32.46,262.75,70.3,7.74,1,1,rarely,0,0.0,weekly,47,student,3,535.45,0.0097,0.6693,0.0,0.0848,0.4591,264.55,0.3307,0.0003,0.0,0.0,0.75,1,3.75,0,0,0,0,548
11321.86,3010.67,3755.66,175.77,624.13,2244.09,5166.82,2,0,always,0,0.0,weekly,38,self_employed,2,9810.32,0.4564,0.8665,0.0,0.2659,0.3472,1511.54,0.1335,0.0137,0.0,1.0,0.75,2,0.1766,1,0,0,0,739
11787.46,1988.47,1636.55,1378.3,1174.07,1405.72,3826.17,4,0,sometimes,0,0.0,monthly,63,employed,2,7583.11,0.3246,0.6433,0.0,0.1687,0.5929,4204.35,0.3567,0.0097,0.0,0.5,0.4,3,0.1697,0,0,1,0,745
3647.52,332.85,653.15,1019.65,62.71,249.21,1508.22,0,0,always,0,0.0,daily,18,employed,1,2317.57,0.4135,0.6354,0.0,0.0913,0.7125,1329.95,0.3646,0.0124,0.0,1.0,1.0,3,0.2742,0,0,0,0,808
6441.09,1085.1,1160.56,949.24,482.94,225.78,737.79,1,1,rarely,1,901.55,monthly,40,self_employed,5,3903.62,0.1145,0.606,0.14,0.1685,0.5764,1635.92,0.254,0.0034,0.14,0.0,0.4,2,0.7763,0,0,0,0,604
1731.8,216.09,102.62,808.65,7.71,64.27,160.87,3,0,always,0,0.0,monthly,18,self_employed,1,1199.34,0.0929,0.6925,0.0,0.1248,0.8115,532.46,0.3075,0.0028,0.0,1.0,0.4,2,0.5774,0,0,1,0,830
3427.68,515.21,860.21,718.01,434.45,203.7,1218.62,4,0,sometimes,1,168.98,weekly,24,self_employed,1,2731.58,0.3555,0.7969,0.0493,0.1503,0.472,527.12,0.1538,0.0107,0.0493,0.5,0.75,2,0.2917,0,0,1,0,691
800.0,206.18,99.43,60.39,56.43,26.7,121.6,1,0,always,0,0.0,monthly,60,unemployed,4,449.13,0.152,0.5614,0.0,0.2577,0.5475,350.87,0.4386,0.0046,0.0,1.0,0.4,0,5.0,0,0,0,0,817
2196.59,157.92,528.78,34.05,94.08,57.43,5209.99,2,0,sometimes,1,341.25,daily,62,self_employed,1,872.26,2.3719,0.3971,0.1554,0.0719,0.6445,983.08,0.4475,0.0712,0.1554,0.5,1.0,2,0.4553,1,0,0,0,682
800.0,443.42,90.83,20.39,20.95,117.31,253.25,0,0,sometimes,0,0.0,monthly,23,student,3,692.9,0.3166,0.8661,0.0,0.5543,0.306,107.1,0.1339,0.0095,0.0,0.5,0.4,1,3.75,0,0,0,1,704
2100.69,124.88,213.98,576.41,170.91,207.71,5939.38,5,0,always,1,195.71,never,28,employed,3,1293.89,2.8273,0.6159,0.0932,0.0594,0.7573,611.09,0.2909,0.0848,0.0932,1.0,0.0,3,1.4281,1,0,1,0,662
8351.98,2013.29,1523.31,336.99,628.44,1821.86,5195.03,1,0,rarely,0,0.0,monthly,37,self_employed,5,6323.89,0.622,0.7572,0.0,0.2411,0.5013,2028.09,0.2428,0.0187,0.0,0.0,0.4,2,0.5987,1,0,0,0,581
5437.24,350.84,2500.99,332.15,390.81,813.87,13898.29,3,1,rarely,1,851.68,monthly,46,employed,1,4388.66,2.5561,0.8071,0.1566,0.0645,0.4036,196.9,0.0362,0.0767,0.1566,0.0,0.4,3,0.1839,1,0,1,0,377
5094.4,1255.67,1462.36,280.55,687.43,774.92,680.01,1,0,always,0,0.0,weekly,27,self_employed,0,4460.93,0.1335,0.8757,0.0,0.2465,0.3315,633.47,0.1243,0.004,0.0,1.0,0.75,2,0.0,0,0,0,0,844
5807.12,1059.77,922.67,251.87,432.46,338.6,943.54,1,0,always,1,1285.37,weekly,48,employed,2,3005.37,0.1625,0.5175,0.2213,0.1825,0.5841,1516.38,0.2611,0.0049,0.2213,1.0,0.75,3,0.3444,0,0,0,0,850
